#Saved Data from the class confocal_logic on 15.06.2026 at 14h25m59s.
#
#Parameters:
#===========
#
#X image min (m): 9.9999999999999995e-08
#X image max (m): 2.0000000000000001e-04
#X image range (m): 1.9990000000000001e-04
#Y image min: 9.9999999999999995e-08
#Y image max: 2.0000000000000001e-04
#Y image range: 1.9990000000000001e-04
#XY resolution (samples per range): 200
#XY Image at z position (m): 2.1848226020267184e-05
#Clock frequency of scanner (Hz): 500
#Return Slowness (Steps during retrace line): 50
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr3 (Hz)	
1.407332e-04	1.000000e-07	2.184823e-05	1.400000e+04
1.417377e-04	1.000000e-07	2.184823e-05	7.000000e+03
1.427422e-04	1.000000e-07	2.184823e-05	1.100000e+04
1.437467e-04	1.000000e-07	2.184823e-05	1.150000e+04
1.447513e-04	1.000000e-07	2.184823e-05	8.000000e+03
1.457558e-04	1.000000e-07	2.184823e-05	1.650000e+04
1.467603e-04	1.000000e-07	2.184823e-05	9.000000e+03
1.477648e-04	1.000000e-07	2.184823e-05	1.050000e+04
1.487693e-04	1.000000e-07	2.184823e-05	1.300000e+04
1.497739e-04	1.000000e-07	2.184823e-05	1.450000e+04
1.507784e-04	1.000000e-07	2.184823e-05	1.900000e+04
1.517829e-04	1.000000e-07	2.184823e-05	2.050000e+04
1.527874e-04	1.000000e-07	2.184823e-05	2.850000e+04
1.537920e-04	1.000000e-07	2.184823e-05	1.500000e+04
1.547965e-04	1.000000e-07	2.184823e-05	8.500000e+03
1.558010e-04	1.000000e-07	2.184823e-05	1.350000e+04
1.568055e-04	1.000000e-07	2.184823e-05	6.000000e+03
1.578101e-04	1.000000e-07	2.184823e-05	1.500000e+04
1.588146e-04	1.000000e-07	2.184823e-05	1.000000e+04
1.598191e-04	1.000000e-07	2.184823e-05	1.550000e+04
1.608236e-04	1.000000e-07	2.184823e-05	1.200000e+04
1.618281e-04	1.000000e-07	2.184823e-05	7.500000e+03
1.628327e-04	1.000000e-07	2.184823e-05	1.250000e+04
1.638372e-04	1.000000e-07	2.184823e-05	1.350000e+04
1.648417e-04	1.000000e-07	2.184823e-05	5.500000e+03
1.658462e-04	1.000000e-07	2.184823e-05	1.150000e+04
